Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Spice Level,Aisle No.,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Chocolate,Richarson's Farm,Richarson's Farm Double Chocolate Ice Cream 16% Butterfat,,Double the chocolate richness,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Coffee,Richarson's Farm,Richarson's Farm Coffee Ice Cream 16% Butterfat,,A deep robust coffee flavor,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Chocolate,Richarson's Farm,Richarson's Farm Chocolate Chip Ice Cream 16% Butterfat,,Vanilla ice cream with dark chocolate chips,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Mint,Richarson's Farm,Richarson's Farm Mint Chocolate Chip Ice Cream 16% Butterfat,,Cool mint ice cream with chocolate chips and mint patties,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Coffee,Richarson's Farm,Richarson's Farm Mocha Chip Ice Cream 16% Butterfat,,Rich coffee mixed with light chocolate ice cream with chocolate chips,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Cookie Dough,Richarson's Farm,Richarson's Farm Cookie Dough Ice Cream 16% Butterfat,,Vanilla ice cream with tons of raw cookie dough and chocolate chips,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Chocolate Chip,Richarson's Farm,Richarson's Farm Toll House Cookie Ice Cream 16% Butterfat,,Vanilla ice cream with baked chocolate chip cookies,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Oreo,Richarson's Farm,Richarson's Farm Oreo Cookie Ice Cream 16% Butterfat,,Vanilla ice cream with real Oreo Cookies,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Coffee,Richarson's Farm,Richarson's Farm Coffee Oreo Ice Cream 16% Butterfat,,Coffee ice cream with Oreo Cookies,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Peanut Butter,Richarson's Farm,Richarson's Farm Peanut Butter Oreo Ice Cream 16% Butterfat,,Peanut butter ice cream base with Oreo cookies pieces,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Brownie,Richarson's Farm,Richarson's Farm Kahlua Brownie Ice Cream 16% Butterfat,,Kahlua ice cream with fudge brownies,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Coffee,Richarson's Farm,Richarson's Farm Coffee Almond Fudge Ice Cream 16% Butterfat,,Coffee ice cream with almonds and a fudge swirl,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Maple Walnut,Richarson's Farm,Richarson's Farm Maple Walnut Ice Cream 16% Butterfat,,Pure maple ice cream with walnuts,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Pistachio,Richarson's Farm,Richarson's Farm Pistachio Ice Cream 16% Butterfat,,Pistachio ice cream with pistachios,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Butter Pecan,Richarson's Farm,Richarson's Farm Butter Pecan Ice Cream 16% Butterfat,,Rich buttery flavored ice cream with roasted pecans,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Peppermint,Richarson's Farm,Richarson's Farm Peppermint Stick Ice Cream 16% Butterfat,,Mint ice cream with peppermint candies,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Butter Crunch,Richarson's Farm,Richarson's Farm Butter Crunch Ice Cream 16% Butterfat,,Butterscotch ice cream with crunchy butterscotch candy,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Vanilla,Richarson's Farm,Richarson's Farm Totally Turtle Ice Cream 16% Butterfat,,"Vanilla ice cream with cashews, pieces of fudge and a caramel twirl",32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Snickers,Richarson's Farm,Richarson's Farm Snickas with Snickers� Ice Cream 16% Butterfat,,"Vanilla ice cream with Snickers� bars, chocolate chips, peanuts, and a caramel swirl",32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Peanut Butter,Richarson's Farm,Richarson's Farm Peanut Butter Cup with Reeses� Ice Cream 16% Butterfat,,Peanut butter ice cream with chocolate chips and Reese�s� Peanut Butter Cups,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Milky Way,Richarson's Farm,Richarson's Farm Way Milk with Milky Way� Ice Cream 16% Butterfat,,"Malted light chocolate ice cream with chocolate chips, Milky Way� bars, and a caramel twirl",32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,M&M,Richarson's Farm,Richarson's Farm Melts in your Mouth with M&M� Ice Cream 16% Butterfat,,Vanilla ice cream with M&M� candies,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Coconut,Richarson's Farm,Richarson's Farm Coconut Chip with Almond Joy� Ice Cream 16% Butterfat,,"Coconut ice cream with Almond Joy� bars, chocolate chips, and almonds",32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Toffee,Richarson's Farm,Richarson's Farm Toffee Crunch with Heath Bar� Ice Cream 16% Butterfat,,Toffee flavored ice cream with chocolate chips and Heath� Bar,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Bubble Gum,Richarson's Farm,Richarson's Farm Bubble Gum Ice Cream 16% Butterfat,,Bubble gum flavored ice cream with pieces of gum,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Vanilla,Richarson's Farm,Richarson's Farm Moose Tracks Ice Cream 16% Butterfat,,Vanilla ice cream with a special hardening fudge ripple and peanut butter truffles,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
