Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Jolly Time ,Jolly Time Healthy Pop Butter Sea Salt,025190007814,,2.24,0,Market Basket,9 oz,9 oz,X4944.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Jolly Time ,Jolly Time Healthy Pop 100s Kettle Corn ,028190001416,,2.24,0,Market Basket,4.8 oz,4.8 oz,X4945.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Jolly Time ,Jolly Time Simply Poped Butter ,028190007692,,2.24,0,Market Basket,9 oz,9 oz,X4946.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Market Basket ,Market Basket Popcorn ,049705114049,,1.49,0,Market Basket,8.7 oz,8.7 oz,X4953.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Market Basket ,Market Basket Popcorn  Light Butter ,049705114087,,1.49,0,Market Basket,8.7 oz,8.7 oz,X4954.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Market Basket ,Market Basket Movie Theater Butter ,049705114056,,1.49,0,Market Basket,9.9 oz,9.9 oz,X4955.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Market Basket ,Market Basket Popcorn  Butter ,049705114001,,1.49,0,Market Basket,9.9 oz,9.9 oz,X4956.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Market Basket ,Market Basket Popcorn Movie Theater Butter ,049705113875,,2.49,0,Market Basket,19.8 oz,19.8 oz,X4963.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Newman's Own ,Newman's Own Movie Theater Butter Microwave Popcorn ,020662001153,,2.50,0,Market Basket,9.6 oz,9.6 oz,X4941.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Newman's Own ,Newman's Own Touch Of Butter Microwave Popcorn ,020662000156,,2.50,0,Market Basket,9.6 oz,9.6 oz,X4942.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Newman's Own ,Newman's Own Tender White Microwave Popcorn,020662001306,,2.50,0,Market Basket,9.60 oz,9.60 oz,X4943.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Orville Redenbacher's ,Orville Redenbacher's Kettle Corn ,027000520079,,2.50,0,Market Basket,9.95 oz,9.95 oz,X4936.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Orville Redenbacher's ,Orville Redenbacher's Simply Salted ,027000372340,,2.50,0,Market Basket,8.07 oz,8.07 oz,X4937.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Orville Redenbacher's ,Orville Redenbacher's Kettle Corn ,027000523087,,2.50,0,Market Basket,8.07 oz,8.07 oz,X4938.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Orville Redenbacher's ,Orville Redenbacher's Butter ,027000372432,,2.50,0,Market Basket,9.87 oz,9.87 oz,X4939.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Orville Redenbacher's ,Orville Redenbacher's Movie Theater Butter ,027000372449,,2.50,0,Market Basket,9.87 oz,9.87 oz,X4940.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Pop Secret ,Pop Secret Double Butter ,023896287867,,2.50,0,Market Basket,9.6 oz,9.6 oz,X4947.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Pop Secret ,Pop Secret Butter Natural Flavor,023896497709,,2.50,0,Market Basket,9 oz,9 oz,X4948.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Pop Secret ,Pop Secret Extra Butter Natural Flavor ,023896166704,,2.50,0,Market Basket,9.6 oz,9.6 oz,X4949.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Pop Secret ,Pop Secret Butter Natural Flavor,023896499901,,2.50,0,Market Basket,9.6 oz,9.6 oz,X4950.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Pop Secret ,Pop Secret Butter Natural Flavor,023896451701,,2.50,0,Market Basket,9 oz,9 oz,X4951.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Pop Secret ,Pop Secret Home Style Natural Butter Flavor ,023896246802,,2.50,0,Market Basket,9.6 oz,9.6 oz,X4952.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Pop Secret ,Pop Secret Home Style Butter ,023896246901,,4.74,0,Market Basket,19.2 oz,19.2 oz,X4957.jpg,,19,,,,,,,
