Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Laundry & Paper Goods,Laundry,Laundry Detergent,Downy,Ultra Downy free & gentle 60 loads Laundry Detergent,,Ultra Downy free & gentle 60 loads Laundry Detergent,6.86,1,Market Basket,1.53 L,1.53 L,DE0111.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Downy,Downy infusions CALM lavender & Vanilla bean 48 loads Laundry Detergent,,Downy infusions CALM lavender & Vanilla bean 48 loads Laundry Detergent,7.49,1,Market Basket,0.96 L,0.96 L,DE0112.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Downy,Downy infusions BLISS Sparkling Amber & Rose 48 loads Laundry Detergent,,Downy infusions BLISS Sparkling Amber & Rose 48 loads Laundry Detergent,7.49,1,Market Basket,0.96 L,0.96 L,DE0113.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Downy,Downy infusions ROMANTIC White Tea & Peony 48 loads Laundry Detergent,,Downy infusions ROMANTIC White Tea & Peony 48 loads Laundry Detergent,7.49,1,Market Basket,0.96 L,0.96 L,DE0114.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Downy,Downy Odor Protect april fresh in wash scent booster Laundry Detergent,,Downy Odor Protect april fresh in wash scent booster Laundry Detergent,8.74,1,Market Basket,285 g,285 g,DE0115.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Downy,Downy fresh Protect with febreze in wash ODOR Defense active fresh Laundry Detergent,,Downy fresh Protect with febreze in wash ODOR Defense active fresh Laundry Detergent,8.74,1,Market Basket,285 g,285 g,DE0116.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Downy,Downy fresh Protect with febreze in wash ODOR Defense april fresh Laundry Detergent,,Downy fresh Protect with febreze in wash ODOR Defense april fresh Laundry Detergent,8.74,1,Market Basket,285 g,285 g,DE0117.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Dreft,Dreft Stage 2:active baby Laundry Detergent 32 Loads,,Dreft Stage 2:active baby Laundry Detergent 32 Loads,12.49,1,Market Basket,50 fl oz,50 fl oz,DE0056.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Dynamo,Dynamo Purple Wildflowers 60 Loads Laundry Detergent,,Dynamo Purple Wildflowers 60 Loads Laundry Detergent,4.36,1,Market Basket,60 fl oz,60 fl oz,DE0057.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Dynamo,Dynamo Laundry Detergent Quick Dissolve Sheets 30 Flicks,,Dynamo Laundry Detergent Quick Dissolve Sheets 30 Flicks,1.24,1,Market Basket,20 pack,20 pack,DE0058.jpg,,15
