Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Frozen Food,Frozen Pizza,Frozen Pizza,Freschetta ,Freschetta Four Supreme,072180639752,,6.24,0,Market Basket,30.88 oz,30.88 oz,X4927.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Breakfast,Good Food Made ,Good Food Made Turjey Sausage Breakfast Burrito ,080618411207,,2.49,0,Market Basket,5 oz,5 oz,X4993.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Breakfast,Good Food Made ,Good Food Made Uncured Canadian Bacon Breakfast Burrito,080618411214,,2.49,0,Market Basket,1 count,1 count,X4995.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Good Food Made Simple,Good Food Made Simple Buffalo style Chicken,080618476046,,3.13,0,Market Basket,9 oz,9 oz,X4178.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Good Food Made Simple,Good Food Made Simple Lemon Chicken,080618476121,,3.13,0,Market Basket,9 oz,9 oz,X4181.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Healthy Choice,Healthy Choice Asian Potstickers,072655405936,,3.13,0,Market Basket,9.9 oz,9.9 oz,X4069.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Healthy Choice,Healthy Choice Chicken Linguini with Red Pepper Alfredo,072655001039,,3.13,0,Market Basket,9.8 oz,9.8 oz,X4074.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Healthy Choice,Healthy Choice Chicken & Vegetable Stir Fry,072655001251,,3.74,0,Market Basket,9.25 oz,9.25 oz,X4078.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Healthy Choice,Healthy Choice Power Bowls Korean-Inspired Beef,072655001343,,4.36,0,Market Basket,9.5 oz,9.5 oz,X4083.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Healthy Choice,Healthy Choice Power Bowls White Bean & Feta Salad,072655000759,,4.36,0,Market Basket,9.9 oz,9.9 oz,X4091.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Hot Pockets,Hot Pockets Philly Steak and Cheese Seasoned Crust 2 pack,043695071078,,3.74,0,Market Basket,9 oz,9 oz,X4796.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Hot Pockets,Hot Pockets Sliced Beef and Cheddar 2 pack,043695056341,,3.74,0,Market Basket,8.5 oz,8.5 oz,X4797.jpg,,19
