"pdid","pid","weight","length","breadth","height","shipping_amount","shipping_type","created_at","updated_at"
"79","5583",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 19:32:10",NULL
"83","3995",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 20:23:20",NULL
"84","4030",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 20:25:40",NULL
"85","4024",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 20:26:55",NULL
"86","4031",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 20:27:40",NULL
"87","4032",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 20:28:20",NULL
"89","10644",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 21:03:03",NULL
"90","10641",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 21:03:46",NULL
"91","10637",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 21:12:14",NULL
"92","10642",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 21:50:41",NULL
"94","10643",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 22:04:27",NULL
"95","10640",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 22:05:30",NULL
"96","4570",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 14:09:27",NULL
"97","4569",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 14:10:16",NULL
"98","5614",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 15:37:55",NULL
"99","5613",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 15:38:29",NULL
"100","5612",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 15:39:01",NULL
"101","5611",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 15:39:25",NULL
"102","5610",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 15:39:41",NULL
"103","5616",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 15:40:06",NULL
"104","5615",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 15:40:30",NULL
"105","10649",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 15:43:28",NULL
"106","10652",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 15:45:08",NULL
"107","10645",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 15:52:36",NULL
"108","10647",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 15:53:59",NULL
"109","10654",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 15:57:59",NULL
"110","10655",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 15:59:12",NULL
"111","10658",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 16:00:08",NULL
"112","10659",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 16:00:22",NULL
"113","10656",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 16:04:12",NULL
"115","10651",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 16:12:05",NULL
"116","10650",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 16:22:51",NULL
"117","10646",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 16:27:24",NULL
"118","10588",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 16:40:49",NULL
"120","10590",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 16:44:53",NULL
"121","10635",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:05:43",NULL
"122","10636",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:05:57",NULL
"123","10584",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:14:00",NULL
"124","10582",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:14:12",NULL
"125","10583",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:14:22",NULL
"126","10581",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:20:09",NULL
"127","10580",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:20:27",NULL
"128","14278",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:22:29",NULL
"129","14279",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:23:30",NULL
"130","10595",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:32:06",NULL
"131","10600",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:32:16",NULL
"132","10596",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:32:28",NULL
"133","10598",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:32:38",NULL
"134","13957",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:42:51",NULL
"135","13960",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:43:50",NULL
"136","13965",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:44:37",NULL
"137","13759",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:46:58",NULL
"138","13769",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:47:36",NULL
"139","13764",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:48:03",NULL
"140","13762",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:49:19",NULL
"141","13761",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:49:41",NULL
"142","13954",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:50:14",NULL
"143","13964",NULL,NULL,NULL,NULL,NULL,"0","2020-09-12 17:50:36",NULL
"144","3633",NULL,NULL,NULL,NULL,NULL,"0","2020-09-13 00:02:06",NULL
"145","3530",NULL,NULL,NULL,NULL,NULL,"0","2020-09-13 00:03:31",NULL
"146","126",NULL,NULL,NULL,NULL,NULL,"0","2020-09-15 12:57:42",NULL
"147","146",NULL,NULL,NULL,NULL,NULL,"0","2020-09-15 12:59:11",NULL
"148","147",NULL,NULL,NULL,NULL,NULL,"0","2020-09-15 12:59:26",NULL
"151","4563",NULL,NULL,NULL,NULL,NULL,"0","2020-09-15 13:03:30",NULL
"152","4562",NULL,NULL,NULL,NULL,NULL,"0","2020-09-15 13:03:44",NULL
"153","13456",NULL,NULL,NULL,NULL,NULL,"0","2020-09-15 13:06:19",NULL
"154","13457",NULL,NULL,NULL,NULL,NULL,"0","2020-09-15 13:06:35",NULL
"155","13458",NULL,NULL,NULL,NULL,NULL,"0","2020-09-15 13:07:03",NULL
"156","13459",NULL,NULL,NULL,NULL,NULL,"0","2020-09-15 13:07:22",NULL
"157","13460",NULL,NULL,NULL,NULL,NULL,"0","2020-09-15 13:07:41",NULL
"158","13344",NULL,NULL,NULL,NULL,NULL,"0","2020-09-15 13:08:02",NULL
"159","3483",NULL,NULL,NULL,NULL,NULL,"0","2020-09-15 13:10:01",NULL
"162","611",NULL,NULL,NULL,NULL,NULL,"0","2020-09-16 14:55:31",NULL
"163","8335",NULL,NULL,NULL,NULL,NULL,"0","2020-09-16 14:57:17",NULL
"164","8336",NULL,NULL,NULL,NULL,NULL,"0","2020-09-16 14:57:32",NULL
"165","8337",NULL,NULL,NULL,NULL,NULL,"0","2020-09-16 14:57:46",NULL
"166","8338",NULL,NULL,NULL,NULL,NULL,"0","2020-09-16 14:58:09",NULL
"167","8340",NULL,NULL,NULL,NULL,NULL,"0","2020-09-16 14:58:25",NULL
"168","15267",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:33:51",NULL
"169","3452",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:36:02",NULL
"170","3656",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:39:09",NULL
"173","3449",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:43:36",NULL
"174","3451",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:44:41",NULL
"176","3661",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:47:21",NULL
