Catagory,Sub Catagory,Type,Brand,product,Product Description,Price,Tax,Image,Store,Size,UOM,Spice Level,Aisle No.
Dorm Essentials,Laundry,Laundry Detergent,all,all stainlifters original detergent 100 Loads,,13.11,1,DE0081.jpg,,150,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,all,all stainlifters original 60 packs Laundry Detergent,,13.11,1,DE0082.jpg,,39.7,oz,,15
Dorm Essentials,Laundry,Laundry Detergent,all,all stainlifters free clear Laundry Detergent,,3.74,1,DE0083.jpg,,19,pack,,15
Dorm Essentials,Laundry,Laundry Detergent,all,all stainlifters free clear detergent 4 Loads9,,13.11,1,DE0084.jpg,,141,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,all,all with Stainlifters free clear with OXI Laundry Detergent,,13.11,1,DE0085.jpg,,141,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Gain,"Gain Aroma Boost Liquid Laundry Detergent, blissful breeze",,13.74,1,DE0086.jpg,,100,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Gain,"Gain Aroma Boost Liquid Laundry Detergent, island fresh",,13.74,1,DE0087.jpg,,100,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Gain,"Gain Aroma Boost Liquid Laundry Detergent, moonlight breeze",,13.74,1,DE0088.jpg,,100,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Gain,Gain Fireworks in wash scent moonlight breeze Laundry Detergent,,8.74,1,DE0089.jpg,,285,g,,15
Dorm Essentials,Laundry,Laundry Detergent,Gain,Gain Fireworks in wash scent island fresh Laundry Detergent,,8.74,1,DE0090.jpg,,285,g,,15
Dorm Essentials,Laundry,Laundry Detergent,Gain,Gain Fireworks in wash scent original Laundry Detergent,,8.74,1,DE0091.jpg,,285,g,,15
Dorm Essentials,Laundry,Fabric Softener,Gain,Gain fabric Softener original 60 Loads,,6.86,1,DE0092.jpg,,1.53,L,,15
Dorm Essentials,Laundry,Laundry Detergent,cheer,Cheer colorguard Detergent 64 Loads,,13.74,1,DE0093.jpg,,100,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Xtra,Xtra Detergent 128 Loads Lavender & Sweet Vanilla,,7.49,1,DE0094.jpg,,192,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Xtra,Xtra Plus OXI Clean Crystal Clean 108 Loads Laundry Detergent,,7.49,1,DE0095.jpg,,192,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Xtra,Xtra Plus Long Lasting Freshness Sparkling Fresh 42 Loads Laundry Detergent,,3.74,1,DE0096.jpg,,75,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Xtra,Xtra Detergent Mountain Rain 50 Loads,,3.74,1,DE0097.jpg,,75,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Xtra,Xtra Detergent Tropical Passion,,3.74,1,DE0098.jpg,,75,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Xtra,Xtra Plus OXI Clean Crystal Clean 40 Loads Laundry Detergent,,3.74,1,DE0099.jpg,,75,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Woolite,Woolite All Clothes Laundry Detergent 33 Loads,,12.49,1,DE0100.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Woolite,Woolite All Darks Laundry Detergent 33 Loads,,12.49,1,DE0101.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Woolite,woolite Delicates 8 washes Laundry Detergent,,6.24,1,DE0102.jpg,,16,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Era,Era OXIBooster Detergent,,14.99,1,DE0103.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Persil,Persil ProClean Intense Fresh Detergent Deep Clean 25 Loads,,7.49,1,DE0104.jpg,,40,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Persil,Persil ProClean plus Odor Fighter Detergent Deep Clean 20 Loads,,7.49,1,DE0105.jpg,,40,fl oz,,15
